Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
PAK,Pakistan,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1766.4,1805.4,1881.5,1957.7,1839.1,2042,2048,2043.3,2195.1,2217.9,2407.8,2230.8,2261.3,2320.5,2430.7,2615.7,2554,2744,2653.7,2789.7,..,..
PAN,Panama,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1866.6,1882.9,1835.8,1898.7,1969.6,1720.9,1800.4,2085.9,1771.9,2035.1,2042.5,1831.5,1980.3,1986.7,1694.8,1871.9,2146.1,2191.8,2735,2019.2,..,..
PER,Peru,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2603,2293.8,2498.6,2689.7,2905.3,2639.3,2628.3,2765.5,2750.4,3109.9,3084,3241.3,3372.9,3442.5,3278,3557.8,3520.4,3640.3,3830.6,3910.2,..,..
PHL,Philippines,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2064.7,2042.6,2103.2,2212.8,2312.3,2263.7,2339.6,2375.1,2240.5,2464.7,2580.8,2667.8,2730.5,2823.3,2992.2,3049,3180.8,3319.8,3334.3,3228.9,..,..
PLW,Palau,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PNG,Papua New Guinea,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2602.6,2466,2529.1,2680,2955.1,2994.1,3000.3,4085.1,4843.6,4031.3,4116.5,4064.5,3894.1,3777,4085.9,4132.4,3887.6,3902.9,4228.2,4415.1,..,..
POL,Poland,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,3283.7,3190.7,2398.9,2752.9,2566.1,3022.3,2901,2854,3070.9,2959.3,2534.7,3056.4,3240.8,2865.3,3537.5,3233,2598.2,3249.5,3217.2,3475.1,..,..
PRI,Puerto Rico,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1080,1149.4,1069.7,1732.7,1410.2,1500,1595.7,1708.3,1870.6,1750,1730.7,1802.3,1946,1959.2,2035.5,1816,1851.8,1896.5,1764.2,1878.1,..,..
PRK,"Korea, Dem. Rep.",AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,3916,5714.1,5720.3,6239.3,4813.3,2532.1,1867.3,2005.7,3148.1,2912.6,2450.2,3112.4,3326.8,3452.1,3547,3481.3,3692.9,3033.6,3716.2,3512.7,..,..
PRT,Portugal,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1877.6,2160.5,1778.9,2033.4,2398.7,1993.8,2498.1,2220.7,3135.2,2829.3,2780.6,2632.2,2905.6,2629.1,2945.4,2027.3,3122.5,3463.3,3597.8,3455,..,..
PRY,Paraguay,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1979.3,1768.4,1966.8,1967.4,1790.4,2462.7,1989.6,2261.7,1998.2,2205.3,1844.5,2160.2,2090.4,2323.4,2445.8,2115.2,2422.6,2334.4,2681.3,2357.9,..,..
